"Loyer" "NbPersonnes" "Chambres" "Distance" "LoyerParPersonne"
285 1 1 40 285
230 2 2 70 115
203 4 2 240 50.75
245 2 2 240 122.5
190 1 1 0 190
450 3 2 40 150
280 2 2 60 140
310 2 2 80 155
185 2 1 80 92.5
218 2 2 420 109
185 1 1 80 185
340 2 2 30 170
245 1 1 240 245
200 2 2 360 100
125 1 1 30 125
300 3 3 90 100
350 2 2 160 175
100 1 1 50 100
280 2 2 60 140
175 2 1 40 87.5
310 2 2 100 155
450 3 2 50 150
160 2 1 120 80
255 2 2 80 127.5
340 4 2 30 85
300 2 2 110 150
880 6 6 60 146.67
800 5 5 100 160
450 3 3 50 150
630 6 6 240 105
480 3 3 240 160
230 2 2 600 115
